Entry	Gene Names (primary)	Protein names	Gene Ontology (molecular function)
O94804	STK10	Serine/threonine-protein kinase 10 (EC 2.7.11.1) (Lymphocyte-oriented kinase)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O94806	PRKD3	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; kinase activity [GO:0016301]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
O94921	CDK14	Cyclin-dependent kinase 14 (EC 2.7.11.22) (Cell division protein kinase 14) (Serine/threonine-protein kinase PFTAIRE-1) (hPFTAIRE1)	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]
O95340	PAPSS2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; nucleotidyltransferase activity [GO:0016779]; sulfate adenylyltransferase (ATP) activity [GO:0004781]
O95382	MAP3K6	Mitogen-activated protein kinase kinase kinase 6 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 2)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein serine kinase activity [GO:0106310]
O95544	NADK	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD+ kinase activity [GO:0003951]
O95747	OXSR1	Serine/threonine-protein kinase OSR1 (EC 2.7.11.1) (Oxidative stress-responsive 1 protein)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; ion channel regulator activity [GO:0099106]; magnesium ion binding [GO:0000287]; potassium channel inhibitor activity [GO:0019870]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transmembrane transporter binding [GO:0044325]
O95819	MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]; MAP kinase kinase kinase kinase activity [GO:0008349]; microtubule binding [GO:0008017]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O95835	LATS1	Serine/threonine-protein kinase LATS1 (EC 2.7.11.1) (Large tumor suppressor homolog 1) (WARTS protein kinase) (h-warts)	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nuclear estrogen receptor binding [GO:0030331]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O96013	PAK4	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)	ATP binding [GO:0005524]; cadherin binding involved in cell-cell adhesion [GO:0098641]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
O96017	CHEK2	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin protein ligase binding [GO:0031625]
P00519	ABL1	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; ATP binding [GO:0005524]; bubble DNA binding [GO:0000405]; delta-catenin binding [GO:0070097]; DNA binding [GO:0003677]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; four-way junction DNA binding [GO:0000400]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; mitogen-activated protein kinase binding [GO:0051019]; neuropilin binding [GO:0038191]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; proline-rich region binding [GO:0070064]; protein kinase activity [GO:0004672]; protein kinase C binding [GO:0005080]; protein tyrosine kinase activity [GO:0004713]; sequence-specific double-stranded DNA binding [GO:1990837]; SH2 domain binding [GO:0042169]; SH3 domain binding [GO:0017124]; syntaxin binding [GO:0019905]; transcription coactivator activity [GO:0003713]
P00533	EGFR	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; ATPase binding [GO:0051117]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; epidermal growth factor binding [GO:0048408]; epidermal growth factor receptor activity [GO:0005006]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; MAP kinase kinase kinase activity [GO:0004709]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activator activity [GO:0030296]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]; ubiquitin protein ligase binding [GO:0031625]; virus receptor activity [GO:0001618]
P00540	MOS	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
P00558	PGK1	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	ADP binding [GO:0043531]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoglycerate kinase activity [GO:0004618]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]; transmembrane transporter binding [GO:0044325]
P00568	AK1	Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.4) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase)	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; deoxyadenylate kinase activity [GO:0047506]; nucleoside diphosphate kinase activity [GO:0004550]
P04049	RAF1	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	adenylate cyclase activator activity [GO:0010856]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]
P04183	TK1	Thymidine kinase, cytosolic (EC 2.7.1.21)	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; thymidine kinase activity [GO:0004797]; zinc ion binding [GO:0008270]
P04626	ERBB2	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ATP binding [GO:0005524]; coreceptor activity [GO:0015026]; ErbB-3 class receptor binding [GO:0043125]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein tyrosine kinase activity [GO:0004713]; receptor tyrosine kinase binding [GO:0030971]; RNA polymerase I core binding [GO:0001042]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
P04629	NTRK1	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	ATP binding [GO:0005524]; GPI-linked ephrin receptor activity [GO:0005004]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; nerve growth factor binding [GO:0048406]; nerve growth factor receptor activity [GO:0010465]; neurotrophin binding [GO:0043121]; neurotrophin p75 receptor binding [GO:0005166]; neurotrophin receptor activity [GO:0005030]; protein homodimerization activity [GO:0042803]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
P05129	PRKCG	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	ATP binding [GO:0005524]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; zinc ion binding [GO:0008270]
P05771	PRKCB	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; calcium,diacylglycerol-dependent serine/threonine kinase activity [GO:0004698]; chromatin binding [GO:0003682]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; histone binding [GO:0042393]; histone H3T6 kinase activity [GO:0035403]; nuclear androgen receptor binding [GO:0050681]; protein kinase C binding [GO:0005080]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]
P06213	INSR	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	amyloid-beta binding [GO:0001540]; ATP binding [GO:0005524]; cargo receptor activity [GO:0038024]; GTP binding [GO:0005525]; identical protein binding [GO:0042802]; insulin binding [GO:0043559]; insulin receptor activity [GO:0005009]; insulin receptor substrate binding [GO:0043560]; insulin-like growth factor I binding [GO:0031994]; insulin-like growth factor II binding [GO:0031995]; insulin-like growth factor receptor binding [GO:0005159]; phosphatidylinositol 3-kinase binding [GO:0043548]; protein domain specific binding [GO:0019904]; protein kinase activator activity [GO:0030295]; protein tyrosine kinase activity [GO:0004713]; protein-containing complex binding [GO:0044877]; PTB domain binding [GO:0051425]
P06239	LCK	Tyrosine-protein kinase Lck (EC 2.7.10.2) (Leukocyte C-terminal Src kinase) (LSK) (Lymphocyte cell-specific protein-tyrosine kinase) (Protein YT16) (Proto-oncogene Lck) (T cell-specific protein-tyrosine kinase) (p56-LCK)	ATP binding [GO:0005524]; ATPase binding [GO:0051117]; CD4 receptor binding [GO:0042609]; CD8 receptor binding [GO:0042610]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatidylinositol 3-kinase binding [GO:0043548]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; phosphotyrosine residue binding [GO:0001784]; protein antigen binding [GO:1990405]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; T cell receptor binding [GO:0042608]
P06241	FYN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	alpha-tubulin binding [GO:0043014]; ATP binding [GO:0005524]; CD4 receptor binding [GO:0042609]; CD8 receptor binding [GO:0042610]; disordered domain specific binding [GO:0097718]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; G protein-coupled receptor binding [GO:0001664]; growth factor receptor binding [GO:0070851]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; peptide hormone receptor binding [GO:0051428]; phosphatidylinositol 3-kinase binding [GO:0043548]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; signaling receptor binding [GO:0005102]; T cell receptor binding [GO:0042608]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]; transmembrane transporter binding [GO:0044325]; type 5 metabotropic glutamate receptor binding [GO:0031802]
P06493	CDK1	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase)	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; cyclin binding [GO:0030332]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone kinase activity [GO:0035173]; Hsp70 protein binding [GO:0030544]; kinase activity [GO:0016301]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; virus receptor activity [GO:0001618]
P06732	CKM	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (Creatine phosphokinase M-type) (CPK-M) (M-CK)	ATP binding [GO:0005524]; creatine kinase activity [GO:0004111]
P07205	PGK2	Phosphoglycerate kinase 2 (EC 2.7.2.3) (Phosphoglycerate kinase, testis specific)	ADP binding [GO:0043531]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoglycerate kinase activity [GO:0004618]
P07332	FES	Tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (Feline sarcoma/Fujinami avian sarcoma oncogene homolog) (Proto-oncogene c-Fes) (Proto-oncogene c-Fps) (p93c-fes)	ATP binding [GO:0005524]; immunoglobulin receptor binding [GO:0034987]; microtubule binding [GO:0008017]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatidylinositol binding [GO:0035091]; protein tyrosine kinase activity [GO:0004713]
P07333	CSF1R	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	ATP binding [GO:0005524]; cytokine binding [GO:0019955]; growth factor binding [GO:0019838]; macrophage colony-stimulating factor receptor activity [GO:0005011]; protein homodimerization activity [GO:0042803]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]
P07947	YES1	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphotyrosine residue binding [GO:0001784]; protein tyrosine kinase activity [GO:0004713]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]
P07948	LYN	Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; ephrin receptor binding [GO:0046875]; gamma-tubulin binding [GO:0043015]; glycosphingolipid binding [GO:0043208]; integrin binding [GO:0005178]; kinase activity [GO:0016301]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; phosphatidylinositol 3-kinase activator activity [GO:0141038]; phosphoprotein binding [GO:0051219]; phosphorylation-dependent protein binding [GO:0140031]; platelet-derived growth factor receptor binding [GO:0005161]; protein tyrosine kinase activity [GO:0004713]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; signaling receptor activator activity [GO:0030546]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]; ubiquitin protein ligase binding [GO:0031625]
P07949	RET	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; protein tyrosine kinase activity [GO:0004713]; signaling receptor activity [GO:0038023]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]
